HUC12,Sum_Survey_Acrea_2004,Sum_AreaMapped_2004,Sum_Damage_Area_2004
10100020101,17565.65843052641,0,0
10100020102,13664.624330298813,0,0
10100020103,18630.050439042403,0,0
10100020104,11933.355517688258,0,0
10100020105,37714.36706878926,0,0
10100020201,23409.818646759017,0,0
10100020202,12498.433764564155,0,0
10100020203,12177.82465350853,0,0
10100020204,31262.404772302816,0,0
10100020301,10045.388763174999,0,0
10100020302,10126.749846210781,0,0
10100020303,17244.36490087725,0,0
10100020304,39202.15927571574,0,0
10100020305,15702.679904690463,0,0
10100020306,11358.77922023544,0,0
10100020307,13169.245357942023,0,0
10100020308,20204.71314946112,0,0
10100020401,16137.24308444659,0,0
10100020402,11635.88148828992,0,0
10100020403,28174.987248687085,0,0
10100020404,14554.325718824975,0,0
10100020405,11333.357928992593,0,0
10100020406,10087.764326288308,0,0
10100020501,21942.76263305024,0,0
10100020502,25072.880298694097,0,0
10100020503,9745.255589737777,0,0
10100020504,13673.361532053079,0,0
10100020505,19685.63106083494,0,0
10100020601,375.3926210441091,0,0
10100020602,0,0,0
10100020701,9127.382404793037,0,0
10100020702,10412.33124325994,0,0
10100020703,8640.55224918277,0,0
10100020704,34894.34291496271,0,0
10100020705,633.448083977251,0,0
10100020706,0,0,0
10100020707,0,0,0
10100020708,0,0,0
10100020709,0,0,0
10100020710,0,0,0
10100020711,1002.2540955033398,0,0
10100030101,6416.6612050703725,0,0
10100030102,24103.45380944791,0,0
10100030103,5341.835977469956,0,0
10100030104,10683.982314239647,0,0
10100030105,11228.76178004407,0,0
10100030201,10194.475185592297,0,0
10100030202,10163.625409398275,0,0
10100030203,39635.99569119618,0,0
10100030204,18009.017745568395,0,0
10100030205,36862.803980728786,0,0
10100030206,27585.85865911235,0,0
10100030207,30050.026553914377,0,0
10100030301,5711.297797051845,0,0
10100030302,15212.703708636749,0,0
10100030303,8412.598423138252,0,0
10100030304,6344.4508550101755,0,0
10100030305,9015.056555187057,0,0
10100030306,12952.57592398961,0,0
10100030307,9139.91405888686,0,0
10100030308,17563.810463169324,0,0
10100030309,29667.587976601644,0,0
10100030310,63899.071925812466,0,0
10100030401,21351.677091484973,0,0
10100030402,793.6692026743707,0,0
10100030403,18576.6981843621,0,0
10100040101,8451.931943639005,0,0
10100040102,9959.598380427713,0,0
10100040103,2948.5344945510324,0,0
10100040104,592.6702671844307,0,0
10100040201,16796.738296776748,0,0
10100040202,8335.822231547028,0,0
10100040203,0,0,0
10100040301,447.6681049454694,0,0
10100040302,5436.973314926252,0,0
10100040303,2957.044506266555,0,0
10100040304,0,0,0
10100040305,5164.617277587805,0,0
10100040306,0,0,0
10100040401,27497.458614981162,0,0
10100040402,26551.833459261485,0,0
10100040501,22397.64107610122,0,0
10100040502,25567.777575811462,0,0
10100040503,18947.24580685007,0,0
10100040504,10786.910597067155,0,0
10100040505,25802.168187379488,0,0
10100040506,20713.95643063269,0,0
10100040507,21225.24156597228,0,0
10100040601,16546.993183390132,0,0
10100040602,10524.63527488589,0,0
10100040603,23345.060562270708,0,0
10100040604,11827.916317607596,0,0
10100040605,10255.081938177455,0,0
10100040606,29082.80937507922,0,0
10100040701,361.30939827113,0,0
10100040702,9653.94453826641,0,0
10100040703,8182.913042925906,0,0
10100040801,22220.162605917943,0,0
10100040802,31592.902871775896,0,0
10100040803,11108.243024312731,0,0
10100040804,9684.284800387706,0,0
10100040805,24462.75131048193,0,0
10100040806,17604.012113223715,0,0
10100040901,22683.021944189095,0,0
10100040902,14234.916778321833,0,0
10100040903,6994.686937038307,0,0
10100040904,19665.183428950942,0,0
10100041001,40108.19570173493,0,0
10100041002,11556.671204608672,0,0
10100041003,19559.501294180965,0,0
10100041004,19775.955523700613,0,0
10100041005,20922.801863115896,0,0
10100041006,29592.649449735494,0,0
10100041007,28385.083936377832,0,0
10100041101,15625.219646648515,0,0
10100041102,10124.369062371015,0,0
10100041103,15052.484354855027,0,0
10100041104,18564.717348791153,0,0
10100041105,11712.188847167441,0,0
10100041106,27200.95122158558,0,0
10100041107,29397.45110470449,0,0
10100041201,35561.31606042102,0,0
10100041202,27249.553855394366,0,0
10100041203,14923.462986539993,0,0
10100041301,22225.6797396354,0,0
10100041302,32777.094084693555,0,0
10100041303,17211.41390821378,0,0
10100041304,7605.270791033024,0,0
10100041305,0,0,0
10100041306,24281.320428547522,0,0
10100041307,0,0,0
10100041401,32542.819335596407,0,0
10100041402,7891.383369163326,0,0
10100041403,301.86451780636673,0,0
10100041404,0,0,0
10100041405,0,0,0
10100041406,0,0,0
10100041407,0,0,0
10100041408,0,0,0
10100050101,3963.074030058819,0,0
10100050102,0,0,0
10100050103,1454.7668405914615,0,0
10100050201,14249.717531092867,0,0
10100050202,24454.966446782222,0,0
10100050203,26320.172733588737,0,0
10100050204,0,0,0
10100050205,7832.352073589429,0,0
10100050206,0,0,0
10100050301,11706.249169053677,0,0
10100050302,23286.28657121312,0,0
10100050303,20897.60569479111,0,0
10100050304,11008.768652362589,0,0
10100050305,28997.106652896768,145.03090908116505,11.156223775474237
10100050306,8776.194940298992,175.8392260848264,13.526094314217417
10100050307,9346.93614065821,638.9367600393199,49.148981541486144
10100050308,2025.3077454915442,261.89711285671734,20.14593175820903
10100050309,0,0,0
10100060101,2114.328057750539,0,0
10100060102,14759.753552241147,0,0
10100060103,20622.722554218803,0,0
10100060104,43548.95060743536,0,0
10100060105,14135.443978348942,0,0
10100060106,13443.891788302866,0,0
10100060107,10089.77692824678,0,0
10100060108,16067.01911063529,0,0
10100060109,15869.474686250538,0,0
10100060110,12106.538716683797,0,0
10100060111,29709.820475292967,0,0
10100060201,0,0,0
10100060202,0,0,0
10100060203,0,0,0
10100060204,1950.7601556927295,0,0
10100060205,0,0,0
10100060206,1603.6662422591069,0,0
10100060207,13478.261841362673,0,0
10100060208,22873.038866784973,0,0
10100060209,16902.6242397778,0,0
10100060301,0,0,0
10100060302,0,0,0
10100060303,0,0,0
10100060304,0,0,0
10100060305,0,0,0
10100060306,0,0,0
10100060307,0,0,0
10100060308,0,0,0
10100060309,0,0,0
10100060401,0,0,0
10100060402,0,0,0
10100060403,0,0,0
10100060404,0,0,0
10100060405,0,0,0
10100060406,0,0,0
10100060407,0,0,0
10100060408,0,0,0
10100060409,4332.222902054326,0,0
10100070101,22781.177751170126,0,0
10100070102,9308.564736699054,0,0
10100070103,30451.809348233517,0,0
10100070201,13984.584317775389,0,0
