OID,DCA_Code,Common_Name,Scientific_Name,Category
-1,10000,miscellaneous insects and allies,<miscellaneous insects and allies>,Miscellaneous Insects and Allies
-1,10001,thrips,"<Thysanoptera>
<Thysanoptera>
",Miscellaneous Insects and Allies
-1,10002,pine tip moths,"<pine tip moths>
",Miscellaneous Insects and Allies
-1,10003,wasp,<wasp>,Miscellaneous Insects and Allies
-1,10008,weevil,<Curculionidae>,Miscellaneous Insects and Allies
-1,10010,Allegheny mound ant,Formica exsectoides,Miscellaneous Insects and Allies
-1,10011,ants,<Formicidae>,Miscellaneous Insects and Allies
-1,10021,conifer seedling weevil,Steremnius carinatus,Miscellaneous Insects and Allies
-1,10024,Eurytomid wasps,Eurytoma spp.,Miscellaneous Insects and Allies
-1,10025,blister beetle,<Meloidae>,Miscellaneous Insects and Allies
-1,10601,clerid beetle,<Cleridae>,Miscellaneous Insects and Allies
-1,10602,lacewings,<lacewings>,Miscellaneous Insects and Allies
-1,10603,blackbellied clerid,Enoclerus lecontei,Miscellaneous Insects and Allies
-1,10604,redbellied clerid,Enoclerus sphegeus,Miscellaneous Insects and Allies
-1,10605,red wood ant,Formica rufa,Miscellaneous Insects and Allies
-1,10606,western yellowjacket,Vespula pennsylvanica,Miscellaneous Insects and Allies
-1,10800,"other miscellaneous insect or ally, known (code pending)","<other miscellaneous insect or ally, known (code pending)>",Miscellaneous Insects and Allies
-1,10801,other predatory insect or ally (known),<other predatory insect or ally (known)>,Miscellaneous Insects and Allies
-1,10900,unknown miscellaneous insect or ally,<unknown miscellaneous insect or ally>,Miscellaneous Insects and Allies
-1,10901,unknown predator insect or ally,<unknown predator insect or ally>,Miscellaneous Insects and Allies
-1,11000,bark beetles,<Scolytinae>,Bark Beetles
-1,11001,roundheaded pine beetle,Dendroctonus adjunctus,Bark Beetles
-1,11002,western pine beetle,Dendroctonus brevicomis,Bark Beetles
-1,11003,southern pine beetle,Dendroctonus frontalis,Bark Beetles
-1,11004,Jeffrey pine beetle,Dendroctonus jeffreyi,Bark Beetles
-1,11005,lodgepole pine beetle,Dendroctonus murrayanae,Bark Beetles
-1,11006,mountain pine beetle,Dendroctonus ponderosae,Bark Beetles
-1,11007,Douglas-fir beetle,Dendroctonus pseudotsugae,Bark Beetles
-1,11008,boreal spruce beetle,Dendroctonus punctatus,Bark Beetles
-1,11009,spruce beetle,Dendroctonus rufipennis,Bark Beetles
-1,11010,eastern larch beetle,Dendroctonus simplex,Bark Beetles
-1,11011,black turpentine beetle,Dendroctonus terebrans,Bark Beetles
-1,11012,red turpentine beetle,Dendroctonus valens,Bark Beetles
-1,11013,goldhaired spruce engraver,Dryocoetes affaber,Bark Beetles
-1,11014,<Dryocoetes autographus>,Dryocoetes autographus,Bark Beetles
-1,11015,western balsam bark beetle,Dryocoetes confusus,Bark Beetles
-1,11016,<Dryocoetes sechelti>,Dryocoetes sechelti,Bark Beetles
-1,11017,ash bark beetles,Hylesinus spp.,Bark Beetles
-1,11018,native elm bark beetle,Hylurgopinus rufipes,Bark Beetles
-1,11019,pinyon ips,Ips confusus,Bark Beetles
-1,11020,small southern pine engraver,Ips avulsus,Bark Beetles
-1,11021,sixspined ips,Ips calligraphus,Bark Beetles
-1,11022,emarginate ips,Ips emarginatus,Bark Beetles
-1,11023,eastern fivespined ips,Ips grandicollis,Bark Beetles
-1,11024,<Orthotomicus latidens>,Orthotomicus latidens,Bark Beetles
-1,11025,Arizona fivespined ips,Ips lecontei,Bark Beetles
-1,11026,false pine engraver,Pseudips mexicanus,Bark Beetles
-1,11027,California fivespined ips,Ips paraconfusus,Bark Beetles
-1,11028,northern spruce engraver,Ips perturbatus,Bark Beetles
-1,11029,pine engraver,Ips pini,Bark Beetles
-1,11030,ips engraver beetles,Ips spp.,Bark Beetles
-1,11031,lesser spruce engraver,Ips tridens,Bark Beetles
-1,11032,western ash bark beetle,Hylesinus californicus,Bark Beetles
-1,11033,Oregon ash bark beetle,Hylesinus oregonus,Bark Beetles
-1,11034,<Orthotomicus caelatus>,Orthotomicus caelatus,Bark Beetles
-1,11035,cedar & cypress bark beetles,Phloeosinus spp.,Bark Beetles
-1,11036,western cedar bark beetle,Phloeosinus punctatus,Bark Beetles
-1,11037,tip beetles,Pityogenes spp.,Bark Beetles
-1,11038,<Pityophthorus pseudotsugae>,Pityophthorus pseudotsugae,Bark Beetles
-1,11039,twig beetles,Pityophthorus spp.,Bark Beetles
-1,11040,foureyed spruce bark beetle,Polygraphus rufipennis,Bark Beetles
-1,11041,fir root bark beetle,Pseudohylesinus granulatus,Bark Beetles
-1,11042,<Pseudohylesinus dispar>,Pseudohylesinus dispar,Bark Beetles
-1,11043,Douglas-fir pole beetle,Pseudohylesinus nebulosus,Bark Beetles
-1,11044,silver fir beetle,Pseudohylesinus sericeus,Bark Beetles
-1,11045,smaller European elm bark beetle,Scolytus multistriatus,Bark Beetles
-1,11046,spruce limb engraver,Scolytus piceae,Bark Beetles
-1,11047,hickory bark beetle,Scolytus quadrispinosus,Bark Beetles
-1,11048,true fir bark beetles,Scolytus spp.,Bark Beetles
-1,11049,Douglas-fir engraver,Scolytus unispinosus,Bark Beetles
-1,11050,fir engraver,Scolytus ventralis,Bark Beetles
